Species,Position,Block,Order,ML,UniqId,GerminationDate,Comment1,Dead_plant,DeathCause,RootsHarvested,SeedsCounted,Trt,Comp,Combos,Population,SeedNumber
Ip,102,1,102,PA4.2Ip,102Ip,43258,NA,NA,NA,N,Y,Alone,NA,NA,PA4,96
Ip,106,1,106,PA4.13Ip,106Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.3 Ihed,PA 4.13 Ip-PA 4.3 Ihed,PA4,209
Ip,107,1,107,PA4.18Ip,107Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.9 Ihed,PA 4.18 Ip-PA 4.9 Ihed,PA4,192
Ip,109A,1,109,PA4.11Ip,109AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.11 Ip-PA 4.2 Ihed,PA4,112
Ip,110,1,110,PA4.11Ip,110Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.12 Ihed,PA 4.11 Ip-PA 4.12 Ihed,PA4,219
Ip,113A,1,113,PA4.18Ip,113AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.18 Ip-PA 4.2 Ihed,PA4,153
Ip,114,1,114,PA4.15Ip,114Ip,43258,NA,NA,NA,N,Y,Alone,NA,NA,PA4,75
Ip,118,1,118,PA4.14Ip,118Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.7 Ihed,PA 4.14 Ip-PA 4.7 Ihed,PA4,35
Ip,119,1,119,PA4.15Ip,119Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.9 Ihed,PA 4.15 Ip-PA 4.9 Ihed,PA4,23
Ip,11A,1,11,PA4.19Ip,11AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.19 Ip-PA 4.2 Ihed,PA4,140
Ip,125A,1,125,PA4.18Ip,125AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.18 Ip-PA 4.15 Ihed,PA4,39
Ip,127A,1,127,PA4.18Ip,127AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.18 Ip-PA 4.15 Ihed,PA4,11
Ip,128,1,128,PA4.17Ip,128Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.12 Ihed,PA 4.17 Ip-PA 4.12 Ihed,PA4,34
Ip,129A,1,129,PA4.17Ip,129AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.17 Ip-PA 4.2 Ihed,PA4,56
Ip,130,1,130,PA4.15Ip,130Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.7 Ihed,PA 4.15 Ip-PA 4.7 Ihed,PA4,56
Ip,131,1,131,PA4.17Ip,131Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.9 Ihed,PA 4.17 Ip-PA 4.9 Ihed,PA4,270
Ip,131A,1,131,PA4.14Ip,131AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.14 Ip-PA 4.15 Ihed,PA4,40
Ip,133,1,133,PA4.1Ip,133Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.12 Ihed,PA 4.1 Ip-PA 4.12 Ihed,PA4,105
Ip,134,1,134,PA4.19Ip,134Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.7 Ihed,PA 4.19 Ip-PA 4.7 Ihed,PA4,117
Ip,135,1,135,PA4.14Ip,135Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.3 Ihed,PA 4.14 Ip-PA 4.3 Ihed,PA4,199
Ip,136,1,136,PA4.2Ip,136Ip,43258,NA,NA,NA,N,Y,Alone,NA,NA,PA4,93
Ip,137A,1,137,PA4.13Ip,137AIp,43262,NA,NA,NA,Y,Y,Inter,PA 4.15 Ihed,PA 4.13 Ip-PA 4.15 Ihed,PA4,40
Ip,138,1,138,PA4.11Ip,138Ip,43258,NA,NA,NA,N,Y,Alone,NA,NA,PA4,56
Ip,139A,1,139,PA4.11Ip,139AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.11 Ip-PA 4.2 Ihed,PA4,63
Ip,140,1,140,PA4.13Ip,140Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.3 Ihed,PA 4.13 Ip-PA 4.3 Ihed,PA4,92
Ip,142,1,142,PA4.16Ip,142Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.3 Ihed,PA 4.16 Ip-PA 4.3 Ihed,PA4,51
Ip,145,1,145,PA4.1Ip,145Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.9 Ihed,PA 4.1 Ip-PA 4.9 Ihed,PA4,130
Ip,145A,1,145,PA4.16Ip,145AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.16 Ip-PA 4.15 Ihed,PA4,78
