Sample_ID,Fastq.Read.1.File,Fastq.Read.2.File,ML,TRT,Combos,Block,Comment
734P,734P_S1_L001_R1_001.fastq,734P_S1_L001_R2_001.fastq,PA4.14Ip,Alone,none,3,
115P,115P_S2_L001_R1_001.fastq,115P_S2_L001_R2_001.fastq,PA4.13Ip,Alone,none,1,
619P,619P_S3_L001_R1_001.fastq,619P_S3_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.12 Ihed,3,
755P,755P_S4_L001_R1_001.fastq,755P_S4_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.3 Ihed,4,
674P,674P_S5_L001_R1_001.fastq,674P_S5_L001_R2_001.fastq,PA4.11Ip,Alone,none,3,
769AP,769AP_S6_L001_R1_001.fastq,769AP_S6_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.2 Ihed,4,
814P,814P_S7_L001_R1_001.fastq,814P_S7_L001_R2_001.fastq,PA4.11Ip,Alone,none,4,
841P,841P_S8_L001_R1_001.fastq,841P_S8_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.3 Ihed,4,
777AP,777AP_S9_L001_R1_001.fastq,777AP_S9_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.2 Ihed,4,
671AP,671AP_S10_L001_R1_001.fastq,671AP_S10_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.2 Ihed,3,
759P,759P_S11_L001_R1_001.fastq,759P_S11_L001_R2_001.fastq,PA4.14Ip,Alone,none,4,
740P,740P_S12_L001_R1_001.fastq,740P_S12_L001_R2_001.fastq,PA4.15Ip,Alone,none,3,
672P,672P_S13_L001_R1_001.fastq,672P_S13_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.3 Ihed,3,
632P,632P_S14_L001_R1_001.fastq,632P_S14_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.3 Ihed,3,
727AP,727AP_S15_L001_R1_001.fastq,727AP_S15_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.15 Ihed,3,
331P,331P_S16_L001_R1_001.fastq,331P_S16_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.3 Ihed,2,
272P,272P_S17_L001_R1_001.fastq,272P_S17_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.12 Ihed,2,
789P,789P_S18_L001_R1_001.fastq,789P_S18_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.12 Ihed,4,
387P,387P_S19_L001_R1_001.fastq,387P_S19_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.12 Ihed,2,
331AP,331AP_S20_L001_R1_001.fastq,331AP_S20_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.15 Ihed,2,
602P,602P_S21_L001_R1_001.fastq,602P_S21_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.12 Ihed,3,
296P,296P_S22_L001_R1_001.fastq,296P_S22_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.12 Ihed,2,
844H,844H_S23_L001_R1_001.fastq,844H_S23_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.17 Ip-PA 4.15 Ihed,4,
693P,693P_S24_L001_R1_001.fastq,693P_S24_L001_R2_001.fastq,PA4.15Ip,Inter,PA 4.15 Ip-PA 4.3 Ihed,3,
725AP,725AP_S25_L001_R1_001.fastq,725AP_S25_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.15 Ihed,3,
742P,742P_S26_L001_R1_001.fastq,742P_S26_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.15 Ihed,3,
117AP,117AP_S27_L001_R1_001.fastq,117AP_S27_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.15 Ihed,1,
463H,463H_S28_L001_R1_001.fastq,463H_S28_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.11 Ip-PA 4.3 Ihed,2,
94H,94H_S29_L001_R1_001.fastq,94H_S29_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.18 Ip-PA 4.12 Ihed,1,
861H,861H_S30_L001_R1_001.fastq,861H_S30_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.13 Ip-PA 4.12 Ihed,4,
835H,835H_S31_L001_R1_001.fastq,835H_S31_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.15 Ip-PA 4.12 Ihed,4,
23AH,23AH_S32_L001_R1_001.fastq,23AH_S32_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.17 Ip-PA 4.15 Ihed,1,
248P,248P_S33_L001_R1_001.fastq,248P_S33_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.12 Ihed,1,
248H,248H_S34_L001_R1_001.fastq,248H_S34_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.17 Ip-PA 4.12 Ihed,1,
21P,21P_S35_L001_R1_001.fastq,21P_S35_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.3 Ihed,1,
104P,104P_S36_L001_R1_001.fastq,104P_S36_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.3 Ihed,1,
94P,94P_S37_L001_R1_001.fastq,94P_S37_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.12 Ihed,1,
83AH,83AH_S38_L001_R1_001.fastq,83AH_S38_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.16 Ip-PA 4.15 Ihed,1,
103P,103P_S39_L001_R1_001.fastq,103P_S39_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.12 Ihed,1,
857AH,857AH_S40_L001_R1_001.fastq,857AH_S40_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.16 Ip-PA 4.15 Ihed,4,
914H,914H_S41_L001_R1_001.fastq,914H_S41_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.19 Ip-PA 4.15 Ihed,4,
583H,583H_S42_L001_R1_001.fastq,583H_S42_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.15 Ip-PA 4.12 Ihed,3,
789H,789H_S43_L001_R1_001.fastq,789H_S43_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.14 Ip-PA 4.12 Ihed,4,
356H,356H_S44_L001_R1_001.fastq,356H_S44_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.17 Ip-PA 4.12 Ihed,2,
375AH,375AH_S45_L001_R1_001.fastq,375AH_S45_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.16 Ip-PA 4.15 Ihed,2,
746H,746H_S46_L001_R1_001.fastq,746H_S46_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.18 Ip-PA 4.12 Ihed,3,
331AH,331AH_S47_L001_R1_001.fastq,331AH_S47_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.19 Ip-PA 4.15 Ihed,2,
716H,716H_S48_L001_R1_001.fastq,716H_S48_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.18 Ip-PA 4.2 Ihed,3,
727AH,727AH_S49_L001_R1_001.fastq,727AH_S49_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.14 Ip-PA 4.15 Ihed,3,
719AH,719AH_S50_L001_R1_001.fastq,719AH_S50_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.16 Ip-PA 4.2 Ihed,3,
699AH,699AH_S51_L001_R1_001.fastq,699AH_S51_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.13 Ip-PA 4.2 Ihed,3,
339AH,339AH_S52_L001_R1_001.fastq,339AH_S52_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.14 Ip-PA 4.15 Ihed,2,
754BH,754BH_S53_L001_R1_001.fastq,754BH_S53_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.11 Ip-PA 4.15 Ihed,3,
657H,657H_S54_L001_R1_001.fastq,657H_S54_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.19 Ip-PA 4.3 Ihed,3,
672H,672H_S55_L001_R1_001.fastq,672H_S55_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.2 Ip-PA 4.3 Ihed,3,
755H,755H_S56_L001_R1_001.fastq,755H_S56_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.13 Ip-PA 4.3 Ihed,4,
632H,632H_S57_L001_R1_001.fastq,632H_S57_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.19 Ip-PA 4.3 Ihed,3,
673AH,673AH_S58_L001_R1_001.fastq,673AH_S58_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.11 Ip-PA 4.15 Ihed,3,
736AH,736AH_S59_L001_R1_001.fastq,736AH_S59_L001_R2_001.fastq,#N/A,#N/A,none,#N/A,Remove
360H,360H_S60_L001_R1_001.fastq,360H_S60_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.18 Ip-PA 4.3 Ihed,2,
373AH,373AH_S62_L001_R1_001.fastq,373AH_S62_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.16 Ip-PA 4.2 Ihed,2,
483H,483H_S63_L001_R1_001.fastq,483H_S63_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.2 Ip-PA 4.12 Ihed,2,
901P,901P_S64_L001_R1_001.fastq,901P_S64_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.12 Ihed,4,
875AP,875AP_S65_L001_R1_001.fastq,875AP_S65_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.15 Ihed,4,
491H,491H_S66_L001_R1_001.fastq,491H_S66_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.14 Ip-PA 4.12 Ihed,2,
440P,440P_S67_L001_R1_001.fastq,440P_S67_L001_R2_001.fastq,PA4.18Ip,Alone,none,2,
478P,478P_S68_L001_R1_001.fastq,478P_S68_L001_R2_001.fastq,PA4.2Ip,Alone,none,2,
15H,15H_S70_L001_R1_001.fastq,15H_S70_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.13 Ip-PA 4.3 Ihed,1,
20P,20P_S72_L001_R1_001.fastq,20P_S72_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.3 Ihed,1,
8H,8H_S73_L001_R1_001.fastq,8H_S73_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.17 Ip-PA 4.3 Ihed,1,
461P,461P_S75_L001_R1_001.fastq,461P_S75_L001_R2_001.fastq,PA4.1Ip,Inter,PA 4.1 Ip-PA 4.3 Ihed,2,
21H,21H_S76_L001_R1_001.fastq,21H_S76_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.11 Ip-PA 4.3 Ihed,1,
461AH,461AH_S77_L001_R1_001.fastq,461AH_S77_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.2 Ip-PA 4.15 Ihed,2,
42P,42P_S78_L001_R1_001.fastq,42P_S78_L001_R2_001.fastq,PA4.17Ip,Alone,none,1,
547P,547P_S79_L001_R1_001.fastq,547P_S79_L001_R2_001.fastq,PA4.13Ip,Alone,none,3,
528P,528P_S80_L001_R1_001.fastq,528P_S80_L001_R2_001.fastq,PA4.19Ip,Alone,none,3,
542H,542H_S81_L001_R1_001.fastq,542H_S81_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.13 Ip-PA 4.3 Ihed,3,
525P,525P_S82_L001_R1_001.fastq,525P_S82_L001_R2_001.fastq,PA4.18Ip,Alone,none,3,
542P,542P_S83_L001_R1_001.fastq,542P_S83_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.3 Ihed,3,
557H,557H_S84_L001_R1_001.fastq,557H_S84_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.18 Ip-PA 4.3 Ihed,3,
296H,296H_S85_L001_R1_001.fastq,296H_S85_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.13 Ip-PA 4.12 Ihed,2,
149AP,149AP_S86_L001_R1_001.fastq,149AP_S86_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.2 Ihed,1,
89AH,89AH_S87_L001_R1_001.fastq,89AH_S87_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.14 Ip-PA 4.15 Ihed,1,
725AH,725AH_S88_L001_R1_001.fastq,725AH_S88_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.17 Ip-PA 4.15 Ihed,3,
671AH,671AH_S90_L001_R1_001.fastq,671AH_S90_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.16 Ip-PA 4.2 Ihed,3,
149AH,149AH_S91_L001_R1_001.fastq,149AH_S91_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.13 Ip-PA 4.2 Ihed,1,
657P,657P_S92_L001_R1_001.fastq,657P_S92_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.3 Ihed,3,
754BP,754BP_S93_L001_R1_001.fastq,754BP_S93_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.15 Ihed,3,
673AP,673AP_S94_L001_R1_001.fastq,673AP_S94_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.15 Ihed,3,
8P,8P_S97_L001_R1_001.fastq,8P_S97_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.3 Ihed,1,
442P,442P_S98_L001_R1_001.fastq,442P_S98_L001_R2_001.fastq,PA4.15Ip,Alone,none,2,
20H,20H_S99_L001_R1_001.fastq,20H_S99_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.17 Ip-PA 4.3 Ihed,1,
234P,234P_S100_L001_R1_001.fastq,234P_S100_L001_R2_001.fastq,PA4.16Ip,Alone,none,1,
232H,232H_S101_L001_R1_001.fastq,232H_S101_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.19 Ip-PA 4.3 Ihed,1,
212P,212P_S102_L001_R1_001.fastq,212P_S102_L001_R2_001.fastq,PA4.16Ip,Alone,none,1,
232P,232P_S103_L001_R1_001.fastq,232P_S103_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.3 Ihed,1,
25H,25H_S104_L001_R1_001.fastq,25H_S104_L001_R2_001.fastq,PA4.7Ihed,Inter,PA 4.1 Ip-PA 4.7 Ihed,1,
35P,35P_S105_L001_R1_001.fastq,35P_S105_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.3 Ihed,1,
93AH,93AH_S106_L001_R1_001.fastq,93AH_S106_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.11 Ip-PA 4.15 Ihed,1,
89AP,89AP_S107_L001_R1_001.fastq,89AP_S107_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.15 Ihed,1,
93AP,93AP_S108_L001_R1_001.fastq,93AP_S108_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.15 Ihed,1,
84P,84P_S109_L001_R1_001.fastq,84P_S109_L001_R2_001.fastq,PA4.11Ip,Alone,none,1,
86P,86P_S110_L001_R1_001.fastq,86P_S110_L001_R2_001.fastq,PA4.18Ip,Alone,none,1,
442AP,442AP_S111_L001_R1_001.fastq,442AP_S111_L001_R2_001.fastq,#N/A,#N/A,none,#N/A,Remove
914P,914P_S112_L001_R1_001.fastq,914P_S112_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.15 Ihed,4,
964P,964P_S113_L001_R1_001.fastq,964P_S113_L001_R2_001.fastq,PA4.19Ip,Alone,none,4,
875AH,875AH_S114_L001_R1_001.fastq,875AH_S114_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.18 Ip-PA 4.15 Ihed,4,
901H,901H_S115_L001_R1_001.fastq,901H_S115_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.16 Ip-PA 4.12 Ihed,4,
959H,959H_S116_L001_R1_001.fastq,959H_S116_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.15 Ip-PA 4.12 Ihed,4,
