"Block","Order","Position","ML","Trt","Comp","Combos","Population","Species","Block.1","Leaf.Number","Comment","X","UniqId","GerminationDate","Comment1","Dead_plant","DeathCause","RootsHarvested","SeedsCounted","SeedNumber"
"1",102,"102","PA4.2Ip","Alone","NA","NA","PA4","Ip",1,6,"",1,"102Ip","43258.0",NA,NA,NA,"N","Y",96
"1",106,"106","PA4.13Ip","Inter","PA 4.3 Ihed","PA 4.13 Ip-PA 4.3 Ihed","PA4","Ip",1,7,"",2,"106Ip","43262.0",NA,NA,NA,"N","Y",209
"1",107,"107","PA4.18Ip","Inter","PA 4.9 Ihed","PA 4.18 Ip-PA 4.9 Ihed","PA4","Ip",1,8,"",3,"107Ip","43258.0",NA,NA,NA,"N","Y",192
"1",109,"109A","PA4.11Ip","Inter","PA 4.2 Ihed","PA 4.11 Ip-PA 4.2 Ihed","PA4","Ip",1,4,"",4,"109AIp","43262.0",NA,NA,NA,"N","Y",112
"1",11,"11A","PA4.19Ip","Inter","PA 4.2 Ihed","PA 4.19 Ip-PA 4.2 Ihed","PA4","Ip",1,16,"",10,"11AIp","43262.0",NA,NA,NA,"N","Y",140
"1",110,"110","PA4.11Ip","Inter","PA 4.12 Ihed","PA 4.11 Ip-PA 4.12 Ihed","PA4","Ip",1,7,"",5,"110Ip","43258.0",NA,NA,NA,"N","Y",219
"1",113,"113A","PA4.18Ip","Inter","PA 4.2 Ihed","PA 4.18 Ip-PA 4.2 Ihed","PA4","Ip",1,8,"",6,"113AIp","43262.0",NA,NA,NA,"N","Y",153
"1",114,"114","PA4.15Ip","Alone","NA","NA","PA4","Ip",1,5,"",7,"114Ip","43258.0",NA,NA,NA,"N","Y",75
"1",118,"118","PA4.14Ip","Inter","PA 4.7 Ihed","PA 4.14 Ip-PA 4.7 Ihed","PA4","Ip",1,4,"",8,"118Ip","43258.0",NA,NA,NA,"N","Y",35
"1",119,"119","PA4.15Ip","Inter","PA 4.9 Ihed","PA 4.15 Ip-PA 4.9 Ihed","PA4","Ip",1,5,"",9,"119Ip","43262.0",NA,NA,NA,"N","Y",23
"1",125,"125A","PA4.18Ip","Inter","PA 4.15 Ihed","PA 4.18 Ip-PA 4.15 Ihed","PA4","Ip",1,4,"",11,"125AIp","43262.0",NA,NA,NA,"N","Y",39
"1",127,"127A","PA4.18Ip","Inter","PA 4.15 Ihed","PA 4.18 Ip-PA 4.15 Ihed","PA4","Ip",1,7,"",12,"127AIp","43262.0",NA,NA,NA,"N","Y",11
"1",128,"128","PA4.17Ip","Inter","PA 4.12 Ihed","PA 4.17 Ip-PA 4.12 Ihed","PA4","Ip",1,7,"",13,"128Ip","43258.0",NA,NA,NA,"N","Y",34
"1",129,"129A","PA4.17Ip","Inter","PA 4.2 Ihed","PA 4.17 Ip-PA 4.2 Ihed","PA4","Ip",1,5,"",14,"129AIp","43262.0",NA,NA,NA,"N","Y",56
"1",130,"130","PA4.15Ip","Inter","PA 4.7 Ihed","PA 4.15 Ip-PA 4.7 Ihed","PA4","Ip",1,5,"",15,"130Ip","43262.0",NA,NA,NA,"N","Y",56
"1",131,"131","PA4.17Ip","Inter","PA 4.9 Ihed","PA 4.17 Ip-PA 4.9 Ihed","PA4","Ip",1,5,"",16,"131Ip","43258.0",NA,NA,NA,"N","Y",270
"1",131,"131A","PA4.14Ip","Inter","PA 4.15 Ihed","PA 4.14 Ip-PA 4.15 Ihed","PA4","Ip",1,5,"",17,"131AIp","43262.0",NA,NA,NA,"N","Y",40
"1",133,"133","PA4.1Ip","Inter","PA 4.12 Ihed","PA 4.1 Ip-PA 4.12 Ihed","PA4","Ip",1,6,"",18,"133Ip","43262.0",NA,NA,NA,"N","Y",105
"1",134,"134","PA4.19Ip","Inter","PA 4.7 Ihed","PA 4.19 Ip-PA 4.7 Ihed","PA4","Ip",1,6,"",19,"134Ip","43258.0",NA,NA,NA,"N","Y",117
"1",135,"135","PA4.14Ip","Inter","PA 4.3 Ihed","PA 4.14 Ip-PA 4.3 Ihed","PA4","Ip",1,7,"",20,"135Ip","43262.0",NA,NA,NA,"N","Y",199
"1",136,"136","PA4.2Ip","Alone","NA","NA","PA4","Ip",1,6,"",21,"136Ip","43258.0",NA,NA,NA,"N","Y",93
"1",137,"137A","PA4.13Ip","Inter","PA 4.15 Ihed","PA 4.13 Ip-PA 4.15 Ihed","PA4","Ip",1,8,"",22,"137AIp","43262.0",NA,NA,NA,"Y","Y",40
"1",138,"138","PA4.11Ip","Alone","NA","NA","PA4","Ip",1,7,"",23,"138Ip","43258.0",NA,NA,NA,"N","Y",56
"1",139,"139A","PA4.11Ip","Inter","PA 4.2 Ihed","PA 4.11 Ip-PA 4.2 Ihed","PA4","Ip",1,6,"",24,"139AIp","43262.0",NA,NA,NA,"N","Y",63
"1",140,"140","PA4.13Ip","Inter","PA 4.3 Ihed","PA 4.13 Ip-PA 4.3 Ihed","PA4","Ip",1,6,"",25,"140Ip","43258.0",NA,NA,NA,"N","Y",92
"1",142,"142","PA4.16Ip","Inter","PA 4.3 Ihed","PA 4.16 Ip-PA 4.3 Ihed","PA4","Ip",1,4,"",26,"142Ip","43258.0",NA,NA,NA,"N","Y",51
"1",145,"145","PA4.1Ip","Inter","PA 4.9 Ihed","PA 4.1 Ip-PA 4.9 Ihed","PA4","Ip",1,6,"",27,"145Ip","43258.0",NA,NA,NA,"N","Y",130
"1",145,"145A","PA4.16Ip","Inter","PA 4.15 Ihed","PA 4.16 Ip-PA 4.15 Ihed","PA4","Ip",1,7,"",28,"145AIp","43262.0",NA,NA,NA,"N","Y",78
"1",146,"146","PA4.2Ip","Inter","PA 4.12 Ihed","PA 4.2 Ip-PA 4.12 Ihed","PA4","Ip",1,5,"",29,"146Ip","43258.0",NA,NA,NA,"N","Y",50
"1",147,"147","PA4.15Ip","Inter","PA 4.3 Ihed","PA 4.15 Ip-PA 4.3 Ihed","PA4","Ip",1,6,"",30,"147Ip","43258.0",NA,NA,NA,"N","Y",51
"1",15,"15A","PA4.17Ip","Inter","PA 4.15 Ihed","PA 4.17 Ip-PA 4.15 Ihed","PA4","Ip",1,15,"",35,"15AIp","43262.0",NA,NA,NA,"N","Y",34
"1",151,"151","PA4.14Ip","Alone","NA","NA","PA4","Ip",1,9,"",31,"151Ip","43258.0",NA,NA,NA,"N","Y",383
"1",153,"153","PA4.1Ip","Alone","NA","NA","PA4","Ip",1,10,"",32,"153Ip","43258.0",NA,NA,NA,"N","Y",321
"1",155,"155","PA4.15Ip","Inter","PA 4.12 Ihed","PA 4.15 Ip-PA 4.12 Ihed","PA4","Ip",1,6,"",33,"155Ip",NA,"LG",NA,NA,"N","Y",136
"1",157,"157A","PA4.11Ip","Inter","PA 4.15 Ihed","PA 4.11 Ip-PA 4.15 Ihed","PA4","Ip",1,7,"",34,"157AIp","43262.0",NA,NA,NA,"N","Y",58
"1",161,"161","PA4.15Ip","Inter","PA 4.12 Ihed","PA 4.15 Ip-PA 4.12 Ihed","PA4","Ip",1,7,"",36,"161Ip","43258.0",NA,NA,NA,"N","Y",13
"1",169,"169","PA4.18Ip","Inter","PA 4.9 Ihed","PA 4.18 Ip-PA 4.9 Ihed","PA4","Ip",1,8,"",37,"169Ip","43262.0",NA,NA,NA,"N","Y",61
"1",171,"171","PA4.2Ip","Inter","PA 4.9 Ihed","PA 4.2 Ip-PA 4.9 Ihed","PA4","Ip",1,8,"",38,"171Ip","43262.0",NA,NA,NA,"N","Y",151
"1",172,"172","PA4.15Ip","Alone","NA","NA","PA4","Ip",1,11,"",39,"172Ip","43262.0",NA,NA,NA,"N","Y",256
"1",173,"173","PA4.16Ip","Inter","PA 4.12 Ihed","PA 4.16 Ip-PA 4.12 Ihed","PA4","Ip",1,8,"",40,"173Ip","43262.0",NA,NA,NA,"N","Y",299
"1",174,"174","PA4.15Ip","Inter","PA 4.3 Ihed","PA 4.15 Ip-PA 4.3 Ihed","PA4","Ip",1,7,"",41,"174Ip","43262.0",NA,NA,NA,"N","Y",168
"1",175,"175","PA4.11Ip","Inter","PA 4.9 Ihed","PA 4.11 Ip-PA 4.9 Ihed","PA4","Ip",1,8,"",42,"175Ip","43262.0",NA,NA,NA,"N","Y",163
