Sample_ID,Sample_Name,Fastq Read 1 File,Fastq Read 2 File,ML,TRT,Combos,Comment
734P,S1,734P_S1_L001_R1_001.fastq,734P_S1_L001_R2_001.fastq,PA4.14Ip,Alone,NA,
115P,S2,115P_S2_L001_R1_001.fastq,115P_S2_L001_R2_001.fastq,PA4.13Ip,Alone,NA,
619P,S3,619P_S3_L001_R1_001.fastq,619P_S3_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.12 Ihed,
755P,S4,755P_S4_L001_R1_001.fastq,755P_S4_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.3 Ihed,
674P,S5,674P_S5_L001_R1_001.fastq,674P_S5_L001_R2_001.fastq,PA4.11Ip,Alone,NA,
769AP,S6,769AP_S6_L001_R1_001.fastq,769AP_S6_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.2 Ihed,
814P,S7,814P_S7_L001_R1_001.fastq,814P_S7_L001_R2_001.fastq,PA4.11Ip,Alone,NA,
841P,S8,841P_S8_L001_R1_001.fastq,841P_S8_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.3 Ihed,
777AP,S9,777AP_S9_L001_R1_001.fastq,777AP_S9_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.2 Ihed,
671AP,S10,671AP_S10_L001_R1_001.fastq,671AP_S10_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.2 Ihed,
759P,S11,759P_S11_L001_R1_001.fastq,759P_S11_L001_R2_001.fastq,PA4.14Ip,Alone,NA,
740P,S12,740P_S12_L001_R1_001.fastq,740P_S12_L001_R2_001.fastq,PA4.15Ip,Alone,NA,
672P,S13,672P_S13_L001_R1_001.fastq,672P_S13_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.3 Ihed,
632P,S14,632P_S14_L001_R1_001.fastq,632P_S14_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.3 Ihed,
727AP,S15,727AP_S15_L001_R1_001.fastq,727AP_S15_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.15 Ihed,
331P,S16,331P_S16_L001_R1_001.fastq,331P_S16_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.3 Ihed,
272P,S17,272P_S17_L001_R1_001.fastq,272P_S17_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.12 Ihed,
789P,S18,789P_S18_L001_R1_001.fastq,789P_S18_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.12 Ihed,
387P,S19,387P_S19_L001_R1_001.fastq,387P_S19_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.12 Ihed,
331AP,S20,331AP_S20_L001_R1_001.fastq,331AP_S20_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.15 Ihed,
602P,S21,602P_S21_L001_R1_001.fastq,602P_S21_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.12 Ihed,
296P,S22,296P_S22_L001_R1_001.fastq,296P_S22_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.12 Ihed,
844H,S23,844H_S23_L001_R1_001.fastq,844H_S23_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.17 Ip-PA 4.15 Ihed,
693P,S24,693P_S24_L001_R1_001.fastq,693P_S24_L001_R2_001.fastq,PA4.15Ip,Inter,PA 4.15 Ip-PA 4.3 Ihed,
725AP,S25,725AP_S25_L001_R1_001.fastq,725AP_S25_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.15 Ihed,
742P,S26,742P_S26_L001_R1_001.fastq,742P_S26_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.15 Ihed,
117AP,S27,117AP_S27_L001_R1_001.fastq,117AP_S27_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.15 Ihed,
463H,S28,463H_S28_L001_R1_001.fastq,463H_S28_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.11 Ip-PA 4.3 Ihed,
94H,S29,94H_S29_L001_R1_001.fastq,94H_S29_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.18 Ip-PA 4.12 Ihed,
861H,S30,861H_S30_L001_R1_001.fastq,861H_S30_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.13 Ip-PA 4.12 Ihed,
835H,S31,835H_S31_L001_R1_001.fastq,835H_S31_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.15 Ip-PA 4.12 Ihed,
23AH,S32,23AH_S32_L001_R1_001.fastq,23AH_S32_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.17 Ip-PA 4.15 Ihed,
248P,S33,248P_S33_L001_R1_001.fastq,248P_S33_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.12 Ihed,
248H,S34,248H_S34_L001_R1_001.fastq,248H_S34_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.17 Ip-PA 4.12 Ihed,
21P,S35,21P_S35_L001_R1_001.fastq,21P_S35_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.3 Ihed,
104P,S36,104P_S36_L001_R1_001.fastq,104P_S36_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.3 Ihed,
94P,S37,94P_S37_L001_R1_001.fastq,94P_S37_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.12 Ihed,
83AH,S38,83AH_S38_L001_R1_001.fastq,83AH_S38_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.16 Ip-PA 4.15 Ihed,
103P,S39,103P_S39_L001_R1_001.fastq,103P_S39_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.12 Ihed,
857AH,S40,857AH_S40_L001_R1_001.fastq,857AH_S40_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.16 Ip-PA 4.15 Ihed,
914H,S41,914H_S41_L001_R1_001.fastq,914H_S41_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.19 Ip-PA 4.15 Ihed,
583H,S42,583H_S42_L001_R1_001.fastq,583H_S42_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.15 Ip-PA 4.12 Ihed,
789H,S43,789H_S43_L001_R1_001.fastq,789H_S43_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.14 Ip-PA 4.12 Ihed,
356H,S44,356H_S44_L001_R1_001.fastq,356H_S44_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.17 Ip-PA 4.12 Ihed,
375AH,S45,375AH_S45_L001_R1_001.fastq,375AH_S45_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.16 Ip-PA 4.15 Ihed,
746H,S46,746H_S46_L001_R1_001.fastq,746H_S46_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.18 Ip-PA 4.12 Ihed,
331AH,S47,331AH_S47_L001_R1_001.fastq,331AH_S47_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.19 Ip-PA 4.15 Ihed,
716H,S48,716H_S48_L001_R1_001.fastq,716H_S48_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.18 Ip-PA 4.2 Ihed,
727AH,S49,727AH_S49_L001_R1_001.fastq,727AH_S49_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.14 Ip-PA 4.15 Ihed,
719AH,S50,719AH_S50_L001_R1_001.fastq,719AH_S50_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.16 Ip-PA 4.2 Ihed,
699AH,S51,699AH_S51_L001_R1_001.fastq,699AH_S51_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.13 Ip-PA 4.2 Ihed,
339AH,S52,339AH_S52_L001_R1_001.fastq,339AH_S52_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.14 Ip-PA 4.15 Ihed,
754BH,S53,754BH_S53_L001_R1_001.fastq,754BH_S53_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.11 Ip-PA 4.15 Ihed,
657H,S54,657H_S54_L001_R1_001.fastq,657H_S54_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.19 Ip-PA 4.3 Ihed,
672H,S55,672H_S55_L001_R1_001.fastq,672H_S55_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.2 Ip-PA 4.3 Ihed,
755H,S56,755H_S56_L001_R1_001.fastq,755H_S56_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.13 Ip-PA 4.3 Ihed,
632H,S57,632H_S57_L001_R1_001.fastq,632H_S57_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.19 Ip-PA 4.3 Ihed,
673AH,S58,673AH_S58_L001_R1_001.fastq,673AH_S58_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.11 Ip-PA 4.15 Ihed,
